Timestamp,Date,Day,Open,High,Low,Previous Close,LTP,Change,% Change,Volume
29/07/2022 00:13:53,28/07/2022,Thursday,98.1,102,97.15,95.95,100.35,4.4,4.59,137156107
29/07/2022 15:50:18,29/07/2022,Friday,103,109.3,102.15,100.35,107.6,7.25,7.22,166949398
01/08/2022 16:23:20,30/07/2022,Saturday,107.6,107.6,107.6,107.6,107.6,0,0,0
01/08/2022 16:23:52,31/07/2022,Sunday,107.6,107.6,107.6,107.6,107.6,0,0,0
01/08/2022 16:24:58,01/08/2022,Monday,110.5,111.45,106.15,107.6,108.25,0.65,0.6,125365761
02/08/2022 16:09:40,02/08/2022,Tuesday,108,108,105.35,108.25,107,-1.25,-1.15,64924648
03/08/2022 15:44:23,03/08/2022,Wednesday,107,108.45,106,107,107.1,0.1,0.09,61413877
04/08/2022 15:58:32,04/08/2022,Thursday,107.5,109.5,106.05,107.05,107.7,0.65,0.61,79524887
05/08/2022 16:12:37,05/08/2022,Friday,107.65,109.25,107.1,107.7,107.35,-0.35,-0.32,54469112
08/08/2022 16:03:07,06/08/2022,Saturday,107.35,107.35,107.35,107.35,107.35,0,0,0
08/08/2022 16:03:36,07/08/2022,Sunday,107.35,107.35,107.35,107.35,107.35,0,0,0
08/08/2022 16:04:52,08/08/2022,Monday,107.85,108.15,106.7,107.35,107.2,-0.15,-0.14,41375608
10/08/2022 16:26:14,09/08/2022,Tuesday,107.2,107.2,107.2,107.2,107.2,0,0,0
10/08/2022 16:27:30,10/08/2022,Wednesday,107.9,109.9,106.5,107.2,109.2,2,1.87,73880698
11/08/2022 19:13:08,11/08/2022,Thursday,110.3,110.65,108.6,109.2,109.1,-0.1,-0.09,75321498
12/08/2022 17:17:28,12/08/2022,Friday,109.35,112.9,108.8,109.1,112.65,3.55,3.25,95942333
13/08/2022 14:14:41,13/08/2022,Saturday,112.65,112.65,112.65,112.65,112.65,0,0,0
13/08/2022 14:15:04,14/08/2022,Sunday,112.65,112.65,112.65,112.65,112.65,0,0,0
13/08/2022 14:15:28,15/08/2022,Monday,112.65,112.65,112.65,112.65,112.65,0,0,0
16/08/2022 17:41:37,16/08/2022,Tuesday,113.7,113.7,111.1,112.65,113,0.35,0.31,69207437
17/08/2022 23:39:06,17/08/2022,Wednesday,113.5,113.5,112.25,113,112.5,0.5,0.44,54008422
18/08/2022 17:10:20,18/08/2022,Thursday,112.5,113,111.4,112.5,112.55,0.05,0.04,49396425
19/08/2022 18:02:38,19/08/2022,Friday,112.55,112.9,109.55,112.55,110.05,-2.5,-2.22,57134813
21/08/2022 17:04:58,20/08/2022,Saturday,110.05,110.05,110.05,110.05,110.05,0,0,0
21/08/2022 17:05:22,21/08/2022,Sunday,110.05,110.05,110.05,110.05,110.05,0,0,0
22/08/2022 17:14:16,22/08/2022,Monday,109.5,109.6,104.7,110.05,105.05,-5,-4.54,74037526
23/08/2022 17:56:15,23/08/2022,Tuesday,104.2,108.25,103.5,105.05,107.6,2.55,2.43,705316339
24/08/2022 16:05:43,24/08/2022,Wednesday,107.55,108.15,105.75,107.6,106.55,-1.05,-0.98,55686404
25/08/2022 16:11:48,25/08/2022,Thursday,107.05,107.9,105.75,106.55,106.25,-0.3,-0.28,42186335
29/08/2022 20:21:32,26/08/2022,Friday,107.25,109.2,107.1,106.25,107.35,1.1,1.04,71257092
29/08/2022 20:22:17,27/08/2022,Saturday,107.35,107.35,107.35,107.35,107.35,0,0,0
29/08/2022 20:22:51,28/08/2022,Sunday,107.35,107.35,107.35,107.35,107.35,0,0,0
29/08/2022 20:24:45,29/08/2022,Monday,104.05,105.65,103.25,107.35,104.85,-2.5,-2.33,59895805
31/08/2022 12:05:37,30/08/2022,Tuesday,106.5,108.5,106.05,104.85,108.3,3.45,3.29,67401780
31/08/2022 12:07:33,31/08/2022,Wednesday,108.3,108.3,108.3,108.3,108.3,0,0,0
01/09/2022 18:41:26,01/09/2022,Thursday,107,107.75,105.9,108.3,106.4,-1.9,-1.75,52454732
06/09/2022 12:22:58,02/09/2022,Friday,107,107,105,106.4,105.5,-0.9,-0.85,45601352
06/09/2022 12:23:52,03/09/2022,Saturday,105.5,105.5,105.5,105.5,105.5,0,0,0
06/09/2022 12:24:33,04/09/2022,Sunday,105.5,105.5,105.5,105.5,105.5,0,0,0
06/09/2022 12:27:59,05/09/2022,Monday,106.05,107.3,105.8,105.5,106.9,1.4,1.32,40352735
06/09/2022 17:29:43,06/09/2022,Tuesday,107.4,108.5,106.05,106.9,108,1.1,1.03,47639962
07/09/2022 21:17:53,07/09/2022,Wednesday,107.55,108.9,107.1,108.6,107.6,-1,-0.92,43945660
08/09/2022 15:50:02,08/09/2022,Thursday,108.4,108.4,105.35,107.6,105.85,-1.75,-1.63,71218289
10/09/2022 10:14:20,09/09/2022,Friday,107,107.35,105.5,105.85,105.7,-0.15,-0.14,63647166
10/09/2022 10:14:57,10/09/2022,Saturday,105.7,105.7,105.7,105.7,105.7,0,0,0
10/09/2022 10:15:23,11/09/2022,Sunday,105.7,105.7,105.7,105.7,105.7,0,0,0
12/09/2022 16:17:49,12/09/2022,Monday,106.8,107.65,106.5,105.7,107,1.3,1.23,25376799
13/09/2022 15:53:40,13/09/2022,Tuesday,108,108.2,107.65,107.75,107.7,-0.05,0.05,21224385
14/09/2022 16:16:02,14/09/2022,Wednesday,106.3,106.9,105.8,107.75,106.85,-0.9,-0.84,8613257
