Timestamp,Date,Day,Open,High,Low,Previous Close,LTP,Change,% Change,Volume
17/08/2022 23:43:59,17/08/2022,Wednesday,103.55,106,102.8,103.05,105.5,2.45,2.38,11144403
18/08/2022 17:08:33,18/08/2022,Thursday,105.8,106.45,104.8,105.5,105.45,-0.05,-0.05,5286338
19/08/2022 18:01:08,19/08/2022,Friday,105.7,105.7,104.4,105.45,104.9,-0.55,-0.52,3209778
21/08/2022 17:03:11,20/08/2022,Saturday,104.9,104.9,104.9,104.9,104.9,0,0,0
21/08/2022 17:03:37,21/08/2022,Sunday,104.9,104.9,104.9,104.9,104.9,0,0,0
22/08/2022 17:11:53,22/08/2022,Monday,104.8,104.8,103.2,104.9,103.35,-1.55,-1.48,3119733
23/08/2022 17:57:46,23/08/2022,Tuesday,102.65,105.65,102.5,103.35,105.4,2.05,1.98,3954118
24/08/2022 16:04:22,24/08/2022,Wednesday,105.35,105.85,104.3,105.4,105.6,0.2,0.19,2277452
25/08/2022 16:14:59,25/08/2022,Thursday,106,108.7,105.85,105.6,107.8,2.2,2.08,4611081
29/08/2022 20:13:39,26/08/2022,Friday,108.9,109.7,108.3,107.8,108.6,0.8,0.74,6251906
29/08/2022 20:14:28,27/08/2022,Saturday,108.6,108.6,108.6,108.6,108.6,0,0,0
29/08/2022 20:15:05,28/08/2022,Sunday,108.6,108.6,108.6,108.6,108.6,0,0,0
29/08/2022 20:16:31,29/08/2022,Monday,106.25,107.7,106,108.6,107.25,-1.35,-1.24,7070586
31/08/2022 12:01:47,30/08/2022,Tuesday,108,109.45,107,107.25,108.75,1.5,1.4,7042420
31/08/2022 12:02:49,31/08/2022,Wednesday,108.75,108.75,108.75,108.75,108.75,0,0,0
01/09/2022 18:35:06,01/09/2022,Thursday,108,108.4,106.9,108.75,107.4,-1.35,-1.24,6817616
06/09/2022 10:38:32,02/09/2022,Friday,108.15,108.3,106.9,107.4,107.15,-0.25,-0.23,3236786
06/09/2022 10:40:39,03/09/2022,Saturday,107.15,107.15,107.15,107.15,107.15,0,0,0
06/09/2022 10:41:52,04/09/2022,Sunday,107.15,107.15,107.15,107.15,107.15,0,0,0
06/09/2022 10:46:39,05/09/2022,Monday,107.65,108.05,106,107.15,106.25,-0.9,0.84,3723607
06/09/2022 17:26:36,06/09/2022,Tuesday,106.9,109.25,105.6,106.25,108.05,1.8,1.69,4907434
07/09/2022 21:20:26,07/09/2022,Wednesday,107.65,108.85,107.5,107.95,107.85,-0.1,-0.09,4119501
08/09/2022 15:48:35,08/09/2022,Thursday,108.45,108.45,105.95,107.85,106.45,-1.4,-1.3,4546940
10/09/2022 10:10:35,09/09/2022,Friday,107,107,104.95,106.45,105.35,-1.1,-1.03,3424316
10/09/2022 10:11:18,10/09/2022,Saturday,105.35,105.35,105.35,105.35,105.35,0,0,0
10/09/2022 10:11:41,11/09/2022,Sunday,105.35,105.35,105.35,105.35,105.35,0,0,0
12/09/2022 16:16:23,12/09/2022,Monday,105.5,106.6,105.35,105.35,106,0.65,0.62,3067736
