Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-Nov-22,EQ,434.9,438.5,434.1,433.7,436.35,437.15,437.01,536.7,366.2,10696024,"4,67,42,53,814.35",114853
14-Nov-22,EQ,424,437.7,423.5,423.5,433.5,433.7,433.93,536.7,366.2,17996083,"7,80,90,03,764.25",180908
11-Nov-22,EQ,420,425.5,414.7,412.2,423,423.5,420.82,536.7,366.2,19296401,"8,12,02,15,752.15",193066
10-Nov-22,EQ,420.5,420.55,409.2,433.15,413.2,412.2,413.57,536.7,366.2,26251660,"10,85,69,86,374.85",326473
09-Nov-22,EQ,439.2,441.2,432,435,433.1,433.15,436.28,536.7,366.2,14471443,"6,31,35,75,496.40",152615
07-Nov-22,EQ,428.25,437.5,428.25,425.35,435,435,432.99,536.7,366.2,15058076,"6,52,00,25,232.95",142616
04-Nov-22,EQ,418.2,426,416.9,416.25,424.9,425.35,422.73,536.7,366.2,12277023,"5,18,99,08,108.45",116431
03-Nov-22,EQ,419.4,423.3,414.5,422.15,416.3,416.25,417.83,536.7,366.2,10987519,"4,59,09,42,130.10",106482
02-Nov-22,EQ,423.05,425.1,420.15,421.35,422.6,422.15,422.26,536.7,366.2,12433578,"5,25,02,37,518.95",96473
01-Nov-22,EQ,414.9,422.4,412.8,412.75,421,421.35,417.98,536.7,366.2,17324893,"7,24,15,35,370.85",165150
31-Oct-22,EQ,414.35,416.3,411.6,409.9,412.15,412.75,413.11,536.7,366.2,9928218,"4,10,14,31,170.45",115652
28-Oct-22,EQ,408,411.2,406.1,407.7,410.2,409.9,408.99,536.7,366.2,12488938,"5,10,77,91,578.55",107978
